KIND	NODE_OR_FILE	CATEGORY	ROOT_CAUSE
FAILED	tests/test_collection_contract.py::test_source_policy_reader	ENVIRONMENT_DEFICIENCY	DB_HOST/OANDA_API_KEY required env not set
FAILED	tests/test_config.py::TestConfigLoading::test_load_config	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestConfigLoading::test_database_config	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestConfigLoading::test_redis_config	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestConfigLoading::test_oanda_config	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestConfigLoading::test_instruments_config	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestEnvVarCompliance::test_no_legacy_tas_db_vars	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestEnvVarCompliance::test_standardized_db_vars_used	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestEnvVarCompliance::test_standardized_redis_vars_used	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestConfigDefaults::test_database_from_env	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_config.py::TestConfigDefaults::test_redis_from_env	ENVIRONMENT_DEFICIENCY	load_config() required env not set
FAILED	tests/test_env_compliance.py::TestEnvFileCompliance::test_env_file_exists	ENVIRONMENT_DEFICIENCY	real .env file absent in clean checkout
FAILED	tests/test_env_compliance.py::TestEnvFileCompliance::test_env_has_environment_tag	ENVIRONMENT_DEFICIENCY	real .env file absent in clean checkout
FAILED	tests/test_env_compliance.py::TestEnvFileCompliance::test_env_uses_db_prefix	ENVIRONMENT_DEFICIENCY	real .env file absent in clean checkout
FAILED	tests/test_env_compliance.py::TestEnvFileCompliance::test_env_uses_redis_prefix	ENVIRONMENT_DEFICIENCY	real .env file absent in clean checkout
FAILED	tests/test_gap_scanner.py::test_real_incident_detection	ENVIRONMENT_DEFICIENCY	DB_HOST required env not set
