instrument	market_type	open_day_utc	open_time_utc	close_day_utc	close_time_utc	maintenance_start_utc	maintenance_end_utc	is_enabled
AUD_USD	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
EUR_GBP	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
EUR_USD	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
GBP_USD	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
NZD_USD	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
USD_CAD	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
USD_CHF	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
USD_JPY	FOREX	6	22:00:00	4	22:00:00	NULL	NULL	1
XAG_USD	METALS	6	22:00:00	4	22:00:00	21:00:00	22:00:00	1
XAU_USD	METALS	6	22:00:00	4	22:00:00	21:00:00	22:00:00	1
XCU_USD	METALS	6	22:00:00	4	22:00:00	21:00:00	22:00:00	1
XPT_USD	METALS	6	22:00:00	4	22:00:00	21:00:00	22:00:00	1
